"Name","id","Last Updated","Phone","Website/Social Media","Neighborhood","Category","Latitude","Longitude","Address","Notes","Sub-Category","Zipcode","Created time","Status","Donate","Source","Hours","Pickup Offered","Delivery Offered","Special Accommodation Hours","Delivery/Pickup Notes","MWBE","Instagram","Email","SNAP/EBT","WIC","Delivery Apps","Type of Service","Black Owned Business"
"Mosaic Roosevelt Island Church",630,"2020-04-28T04:00:00.000Z","(347) 674-8659","http://mosaicri.nyc/","Lenox Hill-Roosevelt Island","Community Services",40.761804,-73.950135,"543 Main St, New York","Food supplies drive donations Visit [www.facebook.com/dansadlier][1] More info [www.instagram.com/mosaicwqnyc/][2]

  [1]: http://www.facebook.com/dansadlier
  [2]: http://www.instagram.com/mosaicwqnyc/
","church,Place of worship","10044","2020-05-29T17:32:11.000Z",,,,,,,,,,,,,,,,
"Mosaic Church via 46-01 43rd Ave",631,"2020-04-28T04:00:00.000Z",,,"Hunters Point-Sunnyside-West Maspeth","Community Services",40.745343,-73.917863,"Sunnyside","Drop off non-perishable items at 46-01 43rd Ave, Monday-Friday (5-8pm). Help us love our Queens neighbors well [www.facebook.com/dansadlier][1] Info [www.instagram.com/mosaicwqnyc/][2]

  [1]: http://www.facebook.com/dansadlier
  [2]: http://www.instagram.com/mosaicwqnyc/
",,"11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"The Queensboro",632,"2020-04-09T04:00:00.000Z","(929) 296-0038","https://www.thequeensboro.com/","Jackson Heights","Restaurants, Bars, Cafes & Bakeries",40.75525,-73.88708,"80-02 Northern Blvd, Jackson Heights","The Queensboro is providing meals for frontline personnel at Elmhurst Hospital. More: [www.thequeensboro.com/post/help-feed-hospital-workers][1]

  [1]: http://www.thequeensboro.com/post/help-feed-hospital-workers
","restaurant,food","11372","2020-05-29T17:32:14.000Z","Open","https://www.thequeensboro.com/support-queens",,,,,,,,,,,,,,
"Woodside on The Move",633,"2020-04-25T04:00:00.000Z","(718) 476-8449","http://www.woodsideonthemove.org/","Hunters Point-Sunnyside-West Maspeth","Community Services",40.742862,-73.913044,"51-23 Queens Blvd, Woodside","Sat-Sun 5pm-8pm WOTM is continuing to serve our community that is affected the hardest! If you are food insecure, our office will be open for food distribution on  #wearewoodsidenyc Info [www.instagram.com/woodsideonthemove][1]

  [1]: http://www.instagram.com/woodsideonthemove
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Little Friends School",634,"2020-04-16T04:00:00.000Z","(718) 786-4644",,"Hunters Point-Sunnyside-West Maspeth","Community Services",40.74354,-73.91787,"43-42 47th St, Long Island City","Free Emergency Childcare Center for first responders [No money exchanged] Call/Text Tammy (718) 786-4644 Email littlefriends@kindersproutselc.com
","school","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Little Friends Infant & Toddler Program",635,"2020-06-07T04:00:00.000Z","(347) 696-4396",,"Hunters Point-Sunnyside-West Maspeth","Community Services",40.745885,-73.920322,"41-32 44th St, Long Island City","Free Emergency Childcare Center for first responders [No money exchanged] Call/Text Tammy (718) 786-4644 Email littlefriends@kindersproutselc.com
","school","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Sunnyside Gardens Park",636,"2020-05-04T04:00:00.000Z","(718) 672-1555","http://sunnysidegardenspark.org/","Hunters Point-Sunnyside-West Maspeth","Community Services",40.749655,-73.914527,"48-21 39th Ave, Sunnyside","Partnered with Cooldown Juice to deliver fresh, organic juices to the staff at Elmhurst Hospital. Donate here <https://sunnysidegardenspark.org/Juice-for-Elmhurst-Hospital>
","park","11104","2020-05-29T17:32:14.000Z","Open",,,,,,,,,,,,,,,
"Smiling Hogshead Ranch",637,"2020-04-06T04:00:00.000Z","(347) 509-4464","http://www.smilinghogsheadranch.org/","Hunters Point-Sunnyside-West Maspeth","Community Services",40.743146,-73.943055,"25-30 Skillman Ave, Long Island City","Info/Updates [www.smilinghogsheadranch.org][1]

  [1]: http://www.smilinghogsheadranch.org
","park","11101","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"PS 361Q The Woodside Community School",638,"2020-04-20T04:00:00.000Z","(718) 592-3300","http://www.ps361q.org/","Woodside","Community Services",40.747714,-73.905814,"39-7 57th St, Woodside","

","school","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"State Senator Jessica Ramos",639,"2020-05-07T04:00:00.000Z","(718) 205-3881","https://www.nysenate.gov/senators/jessica-ramos","East Elmhurst","Community Services",40.7576569,-73.8739219,"32-37 Junction Blvd, East Elmhurst","Friday May 15th 12pm until the food runs out 32-37 Junction Blvd  East Elmhurst, NY in partnership with NY state farms to distribute free fresh fruits & vegetables <https://twitter.com/jessicaramos/status/1260634319225225216>
",,"11369","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Sunnyside Reformed Church",640,,"(718) 426-5997","http://sunnysidenyc.rcachurches.org/","Hunters Point-Sunnyside-West Maspeth","Community Services",40.7466667,-73.9158333,"48-03 Skillman Ave, Sunnyside","718-426-5997 | 48-03 Skillman Ave [www.sunnysidenyc.rcachurches.org][1]

  [1]: http://www.sunnysidenyc.rcachurches.org
","church,Place of worship","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Queen of Angels Church",641,,"(718) 392-0011","http://www.queenofangelsnyc.org/","Hunters Point-Sunnyside-West Maspeth","Community Services",40.746519,-73.91949,"44-04 Skillman Ave, Sunnyside","718-392-0011 | 4-04 Skillman Ave [www.queenofangelsnyc.org][1]

  [1]: http://www.queenofangelsnyc.org
","church,Place of worship","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"COVID-19 testing center (former Sports Authority Northern Blvd)",642,"2020-06-16T04:00:00.000Z",,,"Woodside","Community Services",40.7526051,-73.9085913,"51-30 Northern Blvd","The testing [site][1], located at 51-30 Northern Blvd. is run by the city’s public hospital system, New York Health & Hospitals. It’s open from 9 a.m. to 6:30 p.m. each day.

  [1]: https://licpost.com/where-to-get-covid-19-testing-in-queens-new-site-to-open-in-woodside
",,"11377","2020-05-29T17:32:14.000Z",,,"https://sunnysidepost.com/woodside-site-offering-free-covid-19-testing-with-little-to-no-wait","9am-6:30pm daily 
",,,,,,,,,,,,
"Washateria Laundromat",643,,"(718) 937-6872",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.741416,-73.920153,"4424 Greenpoint Ave, Sunnyside","
",,"11104","2020-05-29T17:32:14.000Z","Open",,,"Open daily, 8am-8:30pm
",,,,,,,,,,,,
"Hong Guang Laundromat",644,"2020-04-09T04:00:00.000Z","(718) 838-8885",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.74414,-73.923111,"43-45 41st St, Sunnyside","
",,"11104","2020-05-29T17:32:14.000Z","Open",,,"Mon-Fri 8am-10pm; Sat-Sun 7:30am-9:30pm
",,,,,,,,,,,,
"Sunny Suds Laundromat",645,,"(718) 472-3312",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.745687,-73.924132,"3943 43rd St, Sunnyside","
",,"11104","2020-05-29T17:32:14.000Z","Follow-up",,,,,,,,,,,,,,,
"Bubble Laundromat",646,"2020-05-06T04:00:00.000Z","(347) 738-4281",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.739377,-73.921211,"44-2 48th Ave, Woodside","
",,"11377","2020-05-29T17:32:14.000Z","Open",,,"Open daily 7AM-10PM
",,,,,,,,,,,,
"King Coin Laundry & Cleaners",647,,"(718) 706-1279","http://www.kingcoincleaners.com/","Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.738515,-73.927939,"38-15 Greenpoint Ave, Long Island City","
",,"11101","2020-05-29T17:32:14.000Z","Follow-up",,,,"Yes","Yes",,,,,,,,,,
